iter	RMSE
163	1.383094145
164	1.38292104
165	1.382777539
166	1.382623671
167	1.382478737
168	1.382349483
169	1.382174564
170	1.382005986
171	1.381808929
172	1.381628173
173	1.381495468
174	1.381321214
175	1.381182251
176	1.381035911
177	1.38092852
178	1.380756799
179	1.380553561
180	1.380399668
181	1.380224486
182	1.380065779
183	1.379881716
184	1.379709009
185	1.379522589
186	1.379359788
187	1.37912059
188	1.378974392
189	1.378770602
190	1.378621026
191	1.378480883
192	1.378310905
193	1.37811801
194	1.377990682
195	1.377816414
196	1.377584925
197	1.377481016
198	1.377350491
199	1.37712511
200	1.376982845
201	1.376801971
202	1.376656006
203	1.376465566
204	1.376307511
205	1.37613851
206	1.375996813
207	1.375837099
208	1.375690827
209	1.375563316
210	1.375347412
211	1.375149081
212	1.37501833
213	1.374875406
214	1.374757246
215	1.374576337
216	1.37437452
217	1.374215217
218	1.373995352
219	1.373816305
220	1.373640112
221	1.373483199
222	1.373253634
223	1.373117617
224	1.372951761
225	1.372767874
226	1.372606927
227	1.372402103
228	1.372282137
229	1.372150227
230	1.371974659
231	1.371796654
232	1.371629543
233	1.371495542
234	1.37134814
235	1.371197964
236	1.371085724
237	1.370931973
238	1.370764712
239	1.370573755
240	1.370404681
241	1.370239939
242	1.370085006
243	1.369970983
244	1.36984543
245	1.369689043
246	1.369506163
247	1.369369048
248	1.369194712
249	1.369059973
250	1.368893297
251	1.368762949
252	1.368559532
253	1.368412323
254	1.368234423
255	1.368062802
256	1.367909727
257	1.367718297
258	1.367572032
259	1.367405396
260	1.367267276
261	1.367093806
262	1.366960879
263	1.366737784
264	1.366615776
265	1.366440274
266	1.366290525
267	1.366130767
268	1.365972556
269	1.365861996
270	1.365682624
271	1.365537371
272	1.365405474
273	1.365219298
274	1.365016887
275	1.364834886
276	1.364645629
277	1.364497965
278	1.364397787
279	1.364269405
280	1.364111131
281	1.363963726
282	1.363796155
283	1.363555649
284	1.363440902
285	1.363238815
286	1.363116076
287	1.362962213
288	1.362804566
289	1.36264273
290	1.362519646
291	1.362370696
292	1.362182792
293	1.362025406
294	1.361886984
295	1.361732947
296	1.361572954
297	1.361369906
298	1.361196842
299	1.361061995
300	1.360940277
301	1.360775747
302	1.360650831
303	1.360483401
304	1.36030861
305	1.360160859
306	1.359993536
307	1.359843772
308	1.359683569
309	1.359525744
310	1.359400524
311	1.359254317
312	1.359144755
313	1.358995749
314	1.358818404
315	1.358652149
316	1.35853223
317	1.358355451
318	1.358239705
319	1.35806185
320	1.357895604
321	1.357697063
322	1.357496262
323	1.35738527
324	1.357273771
325	1.357145562
326	1.356964601
327	1.356860464
328	1.356776084
329	1.356575604
330	1.356451151
331	1.356309016
332	1.356174163
333	1.356065209
334	1.355899005
335	1.355772253
336	1.355580218
337	1.355409419
338	1.355292486
339	1.355184494
340	1.355073107
341	1.354940706
342	1.35475054
343	1.354642235
344	1.354465968
345	1.35433064
346	1.354142351
347	1.354037733
348	1.353867723
349	1.353727824
350	1.353583668
351	1.353447224
352	1.35325201
353	1.353055774
354	1.352900623
355	1.352769027
356	1.352611188
357	1.352498059
358	1.352366464
359	1.352236368
360	1.352089268
361	1.351971053
362	1.351802497
363	1.351665238
364	1.351517661
365	1.351413149
366	1.351277069
367	1.351146271
368	1.35097838
369	1.350802422
370	1.350648522
371	1.350487129
372	1.350344143
373	1.350203185
374	1.350069415
375	1.349905706
376	1.349756324
377	1.349614396
378	1.349460915
379	1.349338829
380	1.349210193
381	1.348976932
382	1.348750845
383	1.348563126
384	1.348424247
385	1.348263232
386	1.348112883
387	1.347952639
388	1.347819179
389	1.347680091
390	1.347530031
391	1.347380176
392	1.347200442
393	1.347044477
394	1.346913332
395	1.346786437
396	1.346665245
397	1.346529622
398	1.34638678
399	1.346269149
400	1.346142278
401	1.345993112
402	1.345779074
403	1.345640574
404	1.345483027
405	1.34534154
406	1.345205747
407	1.345074355
408	1.344922158
409	1.344731635
410	1.344607632
411	1.344399999
412	1.344265772
413	1.344146569
414	1.343996912
415	1.343842781
416	1.34369069
417	1.343580721
418	1.343362896
419	1.343220371
420	1.343052063
421	1.342921973
422	1.342763826
423	1.342637948
424	1.342495693
425	1.342367352
426	1.342183059
427	1.342103264
428	1.342010004
429	1.341887926
430	1.341764987
431	1.341677857
432	1.341565037
433	1.34142383
434	1.341244082
435	1.341086838
436	1.340958922
437	1.340806858
438	1.340652886
439	1.340574827
440	1.340441538
441	1.340314301
442	1.340184536
443	1.34005372
444	1.339878856
445	1.339731069
446	1.339598537
447	1.339472498
448	1.339326207
449	1.339199234
450	1.339093625
451	1.338973577
452	1.338816849
453	1.338688392
454	1.338553449
455	1.338415351
456	1.338248132
457	1.338130575
458	1.338009898
459	1.337855425
460	1.337715736
461	1.337554587
462	1.337414541
463	1.337247092
464	1.337179153
465	1.337052878
466	1.336891059
467	1.336767552
468	1.33661633
469	1.336477984
470	1.336322208
471	1.336122581
472	1.335992961
473	1.335872104
474	1.335696709
475	1.335520152
476	1.335376827
477	1.335261534
478	1.335154623
479	1.335020561
480	1.33492544
481	1.334820191
482	1.334695096
483	1.334550924
484	1.334401054
485	1.334270461
486	1.334076001
487	1.33395538
488	1.333801966
489	1.333623085
490	1.333406014
491	1.333240944
492	1.333145898
493	1.333023879
494	1.332902023
495	1.332752365
496	1.332635524
497	1.33252899
498	1.332403058
499	1.332286353
500	1.332149145
501	1.331998184
502	1.331895214
503	1.331753391
504	1.33162554
505	1.331469204
506	1.331306629
507	1.331186211
508	1.331077259
509	1.330952595
510	1.330823102
511	1.330693395
512	1.330576386
513	1.330424033
514	1.330325413
515	1.33018403
516	1.330061464
517	1.329949554
518	1.329824628
519	1.329681287
520	1.329560113
521	1.329420244
522	1.329252329
523	1.329175656
524	1.329066664
525	1.328948547
526	1.328766392
527	1.32867351
528	1.328543007
529	1.328429164
530	1.328288093
531	1.32815753
532	1.328028759
533	1.327904018
534	1.327717652
535	1.327568958
536	1.327448607
537	1.32730003
538	1.32719733
539	1.32704495
540	1.326928764
541	1.326751802
542	1.326627957
543	1.326484706
544	1.326391127
545	1.326175626
546	1.32604683
547	1.325951319
548	1.325864404
549	1.325729918
550	1.325562976
551	1.325426926
552	1.325275459
553	1.325162045
554	1.325022996
555	1.324909823
556	1.32482025
557	1.324695462
558	1.324572148
559	1.324438329
560	1.324300169
561	1.324195706
562	1.324045743
563	1.323894073
564	1.323767286
565	1.323639071
566	1.323510288
567	1.323419842
568	1.323289454
569	1.323168539
570	1.322996227
571	1.32282794
572	1.322710435
573	1.322562675
574	1.322472469
575	1.322307594
576	1.322193442
577	1.322046836
578	1.321924185
579	1.321834516
580	1.321670275
581	1.321495021
582	1.321368498
583	1.321188735
584	1.321067316
585	1.320918059
586	1.320786724
587	1.320606255
588	1.320461966
589	1.320315216
590	1.320154684
591	1.319998687
592	1.319847566
593	1.319703838
594	1.319603188
595	1.319494901
596	1.319321244
597	1.319174285
598	1.319053418
599	1.318894996
600	1.318753773
601	1.318597074
602	1.318501909
603	1.318334179
604	1.318171581
605	1.318066439
606	1.317950948
607	1.317792158
608	1.317651679
609	1.317536707
610	1.317411018
611	1.317290303
612	1.317170949
613	1.317043692
614	1.31692073
615	1.316785102
616	1.316654049
617	1.316510328
618	1.316343823
619	1.316224338
620	1.316117316
621	1.316033805
622	1.315840283
623	1.315690913
624	1.3155488
625	1.315379835
626	1.315241741
627	1.315122205
628	1.315003705
629	1.31489609
630	1.314742102
631	1.314593268
632	1.314502477
633	1.314359123
634	1.314235281
635	1.314051334
636	1.313920906
637	1.313742829
638	1.313616719
639	1.31347289
640	1.313381711
641	1.313268647
642	1.313132045
643	1.313033528
644	1.312951328
645	1.312864235
646	1.312712258
647	1.312566747
648	1.312418983
649	1.312293237
650	1.312184773
651	1.312078957
652	1.31191335
653	1.311767641
654	1.311684274
655	1.311586076
656	1.311475929
657	1.311387203
658	1.311227782
659	1.311115525
660	1.311000106
661	1.310884635
662	1.310782981
663	1.310665688
664	1.310511193
665	1.310391921
666	1.310268795
667	1.310095304
668	1.309977408
669	1.309869955
670	1.309723718
671	1.309592407
672	1.309488187
673	1.309379543
674	1.309240929
675	1.309074754
676	1.308988698
677	1.308880937
678	1.30876555
679	1.308640527
680	1.308532421
681	1.308400594
682	1.308279296
683	1.308156166
684	1.308049233
685	1.307910194
686	1.307753171
687	1.307617637
688	1.307498056
689	1.307363536
690	1.30725229
691	1.3070855
692	1.30697061
693	1.306878809
694	1.306766163
695	1.306588617
696	1.306465563
697	1.306328472
698	1.306237729
699	1.306087599
700	1.305961394
701	1.305766765
702	1.305568056
703	1.305422712
704	1.305279552
705	1.305139492
706	1.305046623
707	1.30491377
708	1.304790039
709	1.30468007
710	1.304575545
711	1.304462428
712	1.304387453
713	1.30421086
714	1.304125081
715	1.304030348
716	1.303870049
717	1.303760495
718	1.3036711
719	1.303531705
720	1.303350441
721	1.303263207
722	1.303096937
723	1.303006978
724	1.302874645
725	1.302758836
726	1.302658601
727	1.302563355
728	1.302454908
729	1.302317507
730	1.302219166
731	1.302069017
732	1.301891953
733	1.301781053
734	1.301687657
735	1.301578542
736	1.301445896
737	1.30128895
738	1.301175318
739	1.301073205
740	1.300966911
741	1.30086959
742	1.300767219
743	1.300593663
744	1.300483596
745	1.300370378
746	1.300256743
747	1.300080639
748	1.29994625
749	1.299836625
750	1.299724278
751	1.299585629
752	1.29941062
753	1.299242616
754	1.299118063
755	1.298984899
756	1.298865066
757	1.298718566
758	1.298564877
759	1.298413
760	1.29831798
761	1.29819338
762	1.298084845
763	1.297951721
764	1.297886753
765	1.297834594
766	1.29774389
767	1.297643512
768	1.297522732
769	1.297430902
770	1.297322587
771	1.297166726
772	1.297066321
773	1.296952652
774	1.296822238
775	1.296718721
776	1.296616514
777	1.296520785
778	1.296394317
779	1.296263432
780	1.296176716
781	1.29605335
782	1.295920727
783	1.295821446
784	1.295681188
785	1.295552083
786	1.295403471
787	1.295286744
788	1.295134605
789	1.295030006
790	1.294899922
791	1.294755305
792	1.29463131
793	1.294487669
794	1.294381573
795	1.294218969
796	1.294110738
797	1.29396024
798	1.29382598
799	1.293699355
800	1.293578007
801	1.293473712
802	1.293390252
803	1.293270749
804	1.293174921
805	1.293059731
806	1.292941454
807	1.292801448
808	1.292668326
809	1.292544229
810	1.292419856
811	1.292346664
812	1.29219256
813	1.292056585
814	1.291932866
815	1.291804293
816	1.291706656
817	1.291621203
818	1.291497996
819	1.291396441
820	1.291246856
821	1.291096908
822	1.29096673
823	1.290871142
824	1.290744387
825	1.29060868
826	1.290501155
827	1.290414811
828	1.290300422
829	1.290153116
830	1.290041049
831	1.289907904
832	1.289813589
833	1.289687461
834	1.289571528
835	1.289462237
836	1.289325405
837	1.289171986
838	1.289058835
839	1.288924754
840	1.288810206
841	1.288717972
842	1.288604877
843	1.288453855
844	1.288328784
845	1.288211191
846	1.288089716
847	1.287979284
848	1.28784779
849	1.287755529
850	1.287622848
851	1.287538913
852	1.28738939
853	1.287276122
854	1.287125393
855	1.287048122
856	1.28691164
857	1.286798622
858	1.286658586
859	1.286532636
860	1.286397167
861	1.286276801
862	1.286142687
863	1.285971262
864	1.285856122
865	1.285718876
866	1.285582799
867	1.285418374
868	1.285280791
869	1.285190131
870	1.285091349
871	1.284934769
872	1.284847661
873	1.284702062
874	1.284529083
875	1.284445963
876	1.284335537
877	1.284240572
878	1.284144937
879	1.283994736
880	1.283848495
881	1.283717107
882	1.283627815
883	1.283463187
884	1.283365039
885	1.2832448
886	1.283124321
887	1.2829875
888	1.282859154
889	1.282771081
890	1.282642595
891	1.282539591
892	1.282400783
893	1.282251146
894	1.282119569
895	1.281947676
896	1.28183665
897	1.281719322
898	1.281607485
899	1.281484778
900	1.281407095
901	1.281278353
902	1.281149335
903	1.281042667
904	1.280907173
905	1.280738738
906	1.280620824
907	1.280510212
908	1.280313629
909	1.28018896
910	1.280087612
911	1.279971863
912	1.279870343
913	1.279750334
914	1.279621141
915	1.279461866
916	1.279334536
917	1.279206356
918	1.279088114
919	1.278944179
920	1.278831522
921	1.278726088
922	1.278589422
923	1.278489618
924	1.27839693
925	1.278253064
926	1.278135725
927	1.278052633
928	1.277945899
929	1.277825788
930	1.277702001
931	1.277601258
932	1.277467375
933	1.277359235
934	1.277225017
935	1.277102499
936	1.276982078
937	1.276864242
938	1.276758882
939	1.276685549
940	1.276512841
941	1.276379767
942	1.276286103
943	1.276166704
944	1.27602368
945	1.275873518
946	1.275734066
947	1.275598109
948	1.275486962
949	1.275365081
950	1.275244492
951	1.275130122
952	1.275019694
953	1.274903008
954	1.27479138
955	1.274674444
956	1.274583001
957	1.274463996
958	1.274337705
959	1.274250009
960	1.274118792
961	1.274027305
962	1.273882896
963	1.27376662
964	1.273660368
965	1.273461709
966	1.273331986
967	1.273217783
968	1.27305537
969	1.272944699
970	1.272830218
971	1.2727115
972	1.27257674
973	1.272478426
974	1.272373767
975	1.272284735
976	1.272111002
977	1.272023915
978	1.271887531
979	1.271812393
980	1.27171792
981	1.2715954
982	1.271518049
983	1.2714197
984	1.271302353
985	1.271200289
986	1.271078616
987	1.271002521
988	1.27083028
989	1.27071072
990	1.270588441
991	1.270470513
992	1.270378692
993	1.27023891
994	1.270157765
995	1.270055591
996	1.269963747
997	1.269874331
998	1.269691856
999	1.269552821
